score2
1
2
1
0
1
1.5
3
1.5
0
1
0
-0.5
0
0
0
0.5
-1
0
0.5
0.5
1
0.5
0.5
0
0.5
0
-1
null
0.5
-1
0.5
2.5
0.5
0.5
1.5
1
-0.5
0.5
1.5
-0.5
1
0
0.5
2
0.5
null
null
0.5
1
-1
-1
1
0.5
3
null
1
0.5
null
1
0
-0.5
-2
null
1
0
-1
0
0.5
-1
2
1
1
2
0.5
null
1.5
2
2
2.5
null
0
-2
1
0.5
null
1
3
null
-1
null
1
null
1
-1
0
1
null
1.5
-1.5
0.5
1
2
0.5
null
1
-1
2
1.5
1
1
1
1
0
2
0
-2
3
-2
null
1
1
2
-2
1
1
1
3
0.5
1
1
1.5
1
0
0
1
null
null
1.5
0.5
1
-1
0
1
1
1
-2
null
1
2
null
1
0
0.5
1.5
1.5
1
0
0
3
2
1
null
1
null
1
1
2.5
2.5
1
-2
1
0.5
1
2
null
2.5
null
1
0.5
0
2
1.5
1
2.5
null
1
null
-1
1
null
null
null
1
-3
0.5
1
0.5
null
-1
-1
1.5
1
-2
null
1
1
0
1
null
1
1
null
-1
1
-1
0
0
null
0
null
0
0
1
null
null
null
null
null
null
null
null
null
null
null
1
-1
null
0
0
-1
1
0
1
null
2
0.5
1.5
0.5
1.5
2
null
0.5
0.5
0
null
1
null
2
null
1
2
null
-1
1
null
1
1
null
2
-1
-1
-1.5
null
2
null
1
1
2
0
0
1.5
2.5
1
1
1
0.5
1
0.5
1
2
1
1
0.5
1.5
-1
null
2
1
3
1.5
0
0.5
0.5
1.5
null
0.5
0.5
1
2
null
null
-1
1
null
0
0
0
1
-1
2
null
1
0.5
1
-1
-1
3
3
2
0.5
null
0
null
0
null
1
2
1
null
null
null
null
2.5
-1
1
0
0.5
null
1.5
1
0.5
2
-2
-2
0.5
null
1
1
2
-2
1.5
-2
1
1
1
null
1
2.5
1.5
1
1
-1
null
-1
1
null
0.5
0
0
1
1
null
null
-1
0
0.5
1
-1
0
null
2
-1
0.5
null
null
null
1
-2
3
1
2.5
1
0.5
0
0
1
-2
null
0
0
-0.5
1
1
0.5
0
null
-1
0.5
1
1.5
0.5
null
null
0.5
1.5
1
null
0.5
0
null
-1
0
null
0
2
0.5
1
0
2
null
0.5
null
1
0.5
0.5
1
0
0
null
1
-1
0.5
-0.5
1
2
-1
-1
-1
-1
null
null
-1
-3
-1
1
-1
1
null
-1
0
null
-1
0
0.5
null
1.5
null
1
2
-2
1
2
null
2
-1
null
0.5
-1
-3
1
2
0
-2
null
1
1
-2
null
1.5
2
null
-1
-1
3
-2
null
null
null
1
3
1
0.5
0
1.5
null
-2
0
null
null
1
0
-2
-3
0.5
1
null
-1
0.5
1
1.5
0.5
0.5
0
1
0.5
null
0
1
null
null
0.5
null
null
null
0.5
1
0.5
0.5
0
2
0.5
null
0.5
1.5
0.5
0.5
null
1
0.5
0.5
1
0.5
-2
2
-1
0.5
0
2
-2
null
0.5
0
-1
1.5
null
null
0
1
-1
0
0.5
1
0
0.5
null
null
0.5
-1
0.5
1
1
0.5
0.5
0
0
null
2
1
null
1.5
1.5
1
0.5
null
0.5
2
2
null
1
0.5
1
-1
-2
-1
0.5
0.5
-0.5
1
null
null
0.5
-1
0.5
2
null
-1
null
null
null
-1
null
-1
0.5
0
0
-0.5
2.5
0
0.5
-2
null
0.5
-1
-1
2
-2
0
2
0
0.5
1
2
0.5
2
-1
-2
1.5
0
null
null
-1
0
null
null
null
null
-2
1
-2
null
0.5
null
null
null
null
null
null
0.5
null
null
null
1
1
2
1
1
0.5
0.5
0
-2
3
null
0.5
